         6313134 function calls (6265562 primitive calls) in 8.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    1.790    0.028    3.800    0.058 neighborlist.py:878(build)
    68757    0.501    0.000    0.598    0.000 {method 'query_ball_point' of 'scipy.spatial.ckdtree.cKDTree' objects}
    49008    0.497    0.000    0.498    0.000 {built-in method numpy.array}
    15867    0.489    0.000    0.489    0.000 {built-in method scipy.interpolate._fitpack._spl_}
   120270    0.482    0.000    0.482    0.000 {method 'reduce' of 'numpy.ufunc' objects}
247276/231032    0.420    0.000    1.189    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       65    0.242    0.004    1.274    0.020 eam.py:692(calculate_energy)
        2    0.236    0.118    0.297    0.149 connectivity.py:8(get_voronoi_neighbors)
      427    0.192    0.000    0.621    0.001 multigraph.py:498(add_edges_from)
    30057    0.161    0.000    0.326    0.000 linalg.py:2349(norm)
  1494374    0.126    0.000    0.126    0.000 {method 'append' of 'list' objects}
     4096    0.107    0.000    0.296    0.000 basic.py:1036(lstsq)
    94048    0.092    0.000    0.105    0.000 multigraph.py:403(add_edge)
       68    0.088    0.001    0.139    0.002 gratoms.py:163(__getitem__)
       65    0.088    0.001    3.888    0.060 neighborlist.py:864(update)
    15867    0.084    0.000    0.657    0.000 _fitpack_impl.py:524(splev)
      254    0.078    0.000    0.078    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.076    0.025    0.202    0.067 adsorption.py:102(_get_higher_coordination_sites)
      247    0.075    0.000    0.075    0.000 {built-in method io.open_code}
    72313    0.060    0.000    0.076    0.000 reportviews.py:918(__iter__)
     4096    0.057    0.000    0.188    0.000 index_tricks.py:322(__getitem__)
    29635    0.052    0.000    0.211    0.000 fromnumeric.py:69(_wrapreduction)
    93488    0.050    0.000    0.152    0.000 graph.py:452(__getitem__)
   428560    0.047    0.000    0.058    0.000 {method 'update' of 'dict' objects}
    58505    0.044    0.000    0.243    0.000 <__array_function__ internals>:177(concatenate)
    93488    0.042    0.000    0.053    0.000 coreviews.py:103(__getitem__)
     8192    0.042    0.000    0.067    0.000 numerictypes.py:573(_can_coerce_all)
     4096    0.042    0.000    0.601    0.000 vectors.py:14(plane_normal)
    71349    0.040    0.000    0.103    0.000 <__array_function__ internals>:177(shape)
339403/338270    0.038    0.000    0.038    0.000 {built-in method builtins.len}
    93488    0.037    0.000    0.049    0.000 multigraph.py:355(adj)
    85755    0.036    0.000    0.037    0.000 {built-in method numpy.asarray}
   283925    0.035    0.000    0.035    0.000 coreviews.py:44(__init__)
    96782    0.034    0.000    0.046    0.000 coreviews.py:81(__getitem__)
       64    0.033    0.001    0.642    0.010 adsorption.py:295(get_adsorption_vectors)
       44    0.033    0.001    0.033    0.001 {built-in method _imp.create_dynamic}
    45530    0.033    0.000    0.043    0.000 multigraph.py:1005(<genexpr>)
    30057    0.033    0.000    0.392    0.000 <__array_function__ internals>:177(norm)
    21431    0.032    0.000    0.200    0.000 fromnumeric.py:2160(sum)
      247    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
   176082    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
        2    0.028    0.014    0.028    0.014 {built-in method spglib._spglib.standardize_cell}
      952    0.026    0.000    0.036    0.000 graph.py:526(add_nodes_from)
    31824    0.025    0.000    0.159    0.000 {method 'any' of 'numpy.ndarray' objects}
    26812    0.024    0.000    0.024    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2455    0.023    0.000    0.053    0.000 numeric.py:2340(within_tol)
        3    0.023    0.008    0.023    0.008 expr.py:281(disallowed)
    15904    0.023    0.000    0.039    0.000 shape_base.py:23(atleast_1d)
     1264    0.023    0.000    0.023    0.000 {built-in method posix.stat}
     8192    0.022    0.000    0.083    0.000 _util.py:247(_asarray_validated)
    15867    0.021    0.000    0.702    0.000 fitpack2.py:326(__call__)
    21431    0.021    0.000    0.241    0.000 <__array_function__ internals>:177(sum)
    71349    0.021    0.000    0.023    0.000 fromnumeric.py:1965(shape)
     4096    0.020    0.000    0.036    0.000 lapack.py:994(_compute_lwork)
    57344    0.020    0.000    0.020    0.000 numerictypes.py:582(<listcomp>)
        2    0.020    0.010    0.067    0.033 adsorption.py:243(get_symmetric_sites)
   179025    0.019    0.000    0.019    0.000 {method 'items' of 'dict' objects}
