Submitting with iter=3
       Step     Time          Energy         fmax
GPMin:    0 15:39:28     -144.569257        4.7774
GPMin:    1 15:39:28     -145.351774        2.2373
GPMin:    2 15:39:28     -145.547457        0.2696
GPMin:    3 15:39:28     -145.547544        0.2274
GPMin:    4 15:39:28     -145.558023        0.0338
       Step     Time          Energy         fmax
GPMin:    0 15:39:28     -145.051100        5.0952
GPMin:    1 15:39:28     -146.792546        1.9222
GPMin:    2 15:39:28     -147.171927        1.4671
GPMin:    3 15:39:29     -147.207664        2.2329
GPMin:    4 15:39:29     -147.335354        0.4626
GPMin:    5 15:39:29     -147.348289        0.3334
GPMin:    6 15:39:29     -147.349809        0.4457
GPMin:    7 15:39:30     -147.352708        0.0515
       Step     Time          Energy         fmax
GPMin:    0 15:39:30     -145.719970        5.3625
GPMin:    1 15:39:30     -148.044925        2.4428
GPMin:    2 15:39:30     -148.636448        2.0509
GPMin:    3 15:39:30     -148.740420        2.8224
GPMin:    4 15:39:30     -148.890134        1.8902
GPMin:    5 15:39:30     -148.954839        0.4670
GPMin:    6 15:39:30     -148.964091        0.3864
GPMin:    7 15:39:30     -148.966724        0.0446
       Step     Time          Energy         fmax
GPMin:    0 15:39:30     -146.269021        5.3790
GPMin:    1 15:39:30     -149.030748        2.5838
GPMin:    2 15:39:30     -149.879069        2.0936
GPMin:    3 15:39:30     -150.259912        1.7167
GPMin:    4 15:39:30     -150.350702        2.3708
GPMin:    5 15:39:30     -150.376346        1.4549
GPMin:    6 15:39:30     -150.453319        0.5330
GPMin:    7 15:39:30     -150.468935        0.1298
       Step     Time          Energy         fmax
GPMin:    0 15:39:30     -138.346561       13.0013
GPMin:    1 15:39:30     -146.482718       19.4078
GPMin:    2 15:39:30     -149.380212        3.4333
GPMin:    3 15:39:30     -150.442686        2.3485
GPMin:    4 15:39:30     -150.674257        3.7201
GPMin:    5 15:39:30     -151.055125        4.6455
GPMin:    6 15:39:31     -151.866049        4.5744
GPMin:    7 15:39:31     -151.997425        1.8161
GPMin:    8 15:39:31     -152.419093        3.6643
GPMin:    9 15:39:31     -152.725672        2.2056
GPMin:   10 15:39:31     -152.856601        1.7708
GPMin:   11 15:39:31     -152.976765        1.0829
GPMin:   12 15:39:31     -153.004922        1.2394
GPMin:   13 15:39:31     -153.051632        0.6772
GPMin:   14 15:39:31     -153.089638        0.3890
GPMin:   15 15:39:31     -153.108106        0.4078
GPMin:   16 15:39:32     -153.121221        0.3403
GPMin:   17 15:39:32     -153.129679        0.2505
GPMin:   18 15:39:32     -153.132184        0.2638
GPMin:   19 15:39:32     -153.134210        0.1122
       Step     Time          Energy         fmax
GPMin:    0 15:39:32     -126.297248       28.9731
GPMin:    1 15:39:32     -136.503733       10.2211
GPMin:    2 15:39:32     -140.603341        6.8202
GPMin:    3 15:39:32     -143.411066        5.8503
GPMin:    4 15:39:32     -145.876228       10.7727
GPMin:    5 15:39:32     -149.205824       12.2543
GPMin:    6 15:39:32     -151.333573       10.4348
GPMin:    7 15:39:32     -152.887087        5.9355
GPMin:    8 15:39:32     -153.148345        1.8600
GPMin:    9 15:39:33     -153.195310        1.5848
GPMin:   10 15:39:33     -153.218297        2.5979
GPMin:   11 15:39:33     -153.430435        1.2327
GPMin:   12 15:39:33     -153.460971        1.1135
GPMin:   13 15:39:34     -153.517640        1.2478
GPMin:   14 15:39:36     -153.534051        0.8999
GPMin:   15 15:39:36     -153.635054        0.7064
GPMin:   16 15:39:38     -153.665450        0.5411
GPMin:   17 15:39:38     -153.673728        1.3683
GPMin:   18 15:39:39     -153.824510        1.4845
GPMin:   19 15:39:39     -153.877329        0.7030
GPMin:   20 15:39:40     -153.894528        0.4812
       Step     Time          Energy         fmax
GPMin:    0 15:39:40      -99.514425       54.0142
