 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
25:19 |     1 |     1.000e-03 |     0.2704 |          0.1747 |     0.5459 |          0.2141 |            4004
25:29 |     2 |     1.000e-03 |     0.1633 |          0.1608 |     0.5359 |          0.2049 |            4005
25:39 |     3 |     1.000e-03 |     0.1353 |          0.1465 |     0.5187 |          0.1956 |            4005
25:49 |     4 |     1.000e-03 |     0.1213 |          0.1426 |     0.5008 |          0.1934 |            4005
25:59 |     5 |     1.000e-03 |     0.1126 |          0.1388 |     0.4824 |          0.1914 |            4006
26:09 |     6 |     1.000e-03 |     0.1057 |          0.1381 |     0.4716 |          0.1913 |            4006
26:19 |     7 |     1.000e-03 |     0.1002 |          0.1362 |     0.4660 |          0.1901 |            4007
26:30 |     8 |     1.000e-03 |     0.0950 |          0.1360 |     0.4645 |          0.1900 |            4007
26:40 |     9 |     1.000e-03 |     0.0907 |          0.1348 |     0.4651 |          0.1891 |            4008
26:51 |    10 |     1.000e-03 |     0.0866 |          0.1350 |     0.4682 |          0.1892 |            4008
27:01 |    11 |     1.000e-03 |     0.0832 |          0.1346 |     0.4711 |          0.1889 |            4009
27:12 |    12 |     1.000e-03 |     0.0799 |          0.1350 |     0.4747 |          0.1891 |            4009
27:23 |    13 |     1.000e-03 |     0.0771 |          0.1348 |     0.4771 |          0.1891 |            4010
27:34 |    14 |     1.000e-03 |     0.0744 |          0.1350 |     0.4807 |          0.1893 |            4010
27:45 |    15 |     1.000e-03 |     0.0721 |          0.1348 |     0.4844 |          0.1894 |            4010
27:56 |    16 |     1.000e-03 |     0.0698 |          0.1352 |     0.4888 |          0.1898 |            4011
28:07 |    17 |     1.000e-03 |     0.0678 |          0.1350 |     0.4923 |          0.1901 |            4011
28:18 |    18 |     1.000e-03 |     0.0658 |          0.1353 |     0.4964 |          0.1905 |            4012
28:29 |    19 |     1.000e-03 |     0.0641 |          0.1348 |     0.5000 |          0.1905 |            4012
28:40 |    20 |     1.000e-03 |     0.0623 |          0.1357 |     0.5054 |          0.1913 |            4013
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
