               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
2023-01-25 15:27:34 |     1 |     1.000e-03 |  6329.0833 |       1460.2477 |   219.5885 |         14.3262 |            7282
2023-01-25 15:27:56 |     2 |     1.000e-03 |   873.9463 |        481.9024 |    78.2077 |         10.6461 |            7282
2023-01-25 15:28:19 |     3 |     1.000e-03 |   488.4484 |        372.0711 |    75.7813 |          9.2512 |            7349
2023-01-25 15:28:41 |     4 |     1.000e-03 |   312.0235 |        236.2458 |    38.9206 |          7.9484 |            7423
2023-01-25 15:29:03 |     5 |     1.000e-03 |   345.8644 |        400.9236 |    50.1677 |          9.9147 |            7423
2023-01-25 15:29:25 |     6 |     1.000e-03 |   356.4415 |        254.4135 |    76.2189 |          7.3523 |            7423
2023-01-25 15:29:47 |     7 |     1.000e-03 |   238.5078 |        234.7124 |    80.0264 |          6.8612 |            7423
2023-01-25 15:30:09 |     8 |     1.000e-03 |   212.3920 |        201.0179 |    58.2169 |          6.7532 |            7423
2023-01-25 15:30:31 |     9 |     1.000e-03 |   171.4187 |        151.7181 |    28.7545 |          6.3438 |            7423
2023-01-25 15:30:53 |    10 |     1.000e-03 |   143.2797 |        153.3822 |    37.4266 |          6.0609 |            7423
2023-01-25 15:31:15 |    11 |     1.000e-03 |   133.5049 |        134.6767 |    29.3884 |          5.7497 |            7423
2023-01-25 15:31:38 |    12 |     1.000e-03 |   173.2599 |        181.2354 |    58.0059 |          6.3180 |            7423
2023-01-25 15:32:00 |    13 |     1.000e-03 |   251.8086 |        307.2317 |    96.7191 |          7.4689 |            7423
2023-01-25 15:32:22 |    14 |     1.000e-03 |   189.7010 |        136.9210 |    28.5263 |          6.0352 |            7423
2023-01-25 15:32:44 |    15 |     1.000e-03 |   185.2180 |        139.9048 |    32.1331 |          6.0175 |            7423
2023-01-25 15:33:06 |    16 |     1.000e-03 |   158.8919 |        123.9429 |    30.4082 |          5.5655 |            7423
2023-01-25 15:33:28 |    17 |     1.000e-03 |   472.3031 |        264.7864 |    50.3526 |          8.4127 |            7423
2023-01-25 15:33:50 |    18 |     1.000e-03 |   242.4887 |        161.5251 |    46.6859 |          6.2617 |            7423
2023-01-25 15:34:12 |    19 |     1.000e-03 |   185.3553 |        132.1514 |    28.9354 |          5.8053 |            7423
2023-01-25 15:34:34 |    20 |     1.000e-03 |   375.8393 |        267.6792 |    52.8407 |          8.3110 |            7423
2023-01-25 15:34:56 |    21 |     1.000e-03 |   229.4235 |        172.4441 |    42.4406 |          6.4115 |            7423
2023-01-25 15:35:18 |    22 |     1.000e-03 |   174.1346 |        128.7321 |    24.0324 |          5.7247 |            7423
2023-01-25 15:35:41 |    23 |     1.000e-03 |   122.8424 |        129.6737 |    38.7152 |          5.5444 |            7423
2023-01-25 15:36:03 |    24 |     1.000e-03 |   115.1102 |        115.4952 |    34.8540 |          5.3201 |            7423
2023-01-25 15:36:25 |    25 |     1.000e-03 |   149.1376 |        107.4016 |    23.5418 |          5.1857 |            7423
2023-01-25 15:36:47 |    26 |     1.000e-03 |   112.1123 |        102.0031 |    23.7121 |          5.0950 |            7423
2023-01-25 15:37:09 |    27 |     1.000e-03 |    94.1793 |         97.6749 |    26.2861 |          4.9276 |            7423
2023-01-25 15:37:31 |    28 |     1.000e-03 |   121.9209 |        132.0855 |    53.3055 |          5.1966 |            7423
