               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
2023-01-25 15:16:38 |     1 |     1.000e-03 |  7020.6448 |       1864.6434 |   264.2410 |         15.6795 |            5317
2023-01-25 15:17:01 |     2 |     1.000e-03 |  1114.6698 |        591.9005 |   108.2011 |         11.3659 |            6449
2023-01-25 15:17:24 |     3 |     1.000e-03 |   527.0490 |        421.9303 |    97.5174 |          9.5553 |            7256
2023-01-25 15:17:48 |     4 |     1.000e-03 |   278.8349 |        257.2421 |    39.0303 |          8.0892 |            7256
2023-01-25 15:18:11 |     5 |     1.000e-03 |   524.5071 |        319.2034 |    48.6031 |          9.0730 |            7303
2023-01-25 15:18:33 |     6 |     1.000e-03 |   304.0494 |        367.3712 |   119.4135 |          7.7127 |            7303
2023-01-25 15:18:55 |     7 |     1.000e-03 |   251.9049 |        245.3295 |    68.0888 |          7.2794 |            7303
2023-01-25 15:19:18 |     8 |     1.000e-03 |   237.5260 |        185.0213 |    45.2606 |          6.6993 |            7303
2023-01-25 15:19:40 |     9 |     1.000e-03 |   718.2475 |        653.9044 |    99.2831 |         12.0518 |            7303
2023-01-25 15:20:02 |    10 |     1.000e-03 |   415.1511 |        256.2712 |    41.6161 |          8.3573 |            7303
2023-01-25 15:20:24 |    11 |     1.000e-03 |   263.9883 |        217.3810 |    48.3420 |          7.3842 |            7303
2023-01-25 15:20:47 |    12 |     1.000e-03 |   191.1878 |        175.7034 |    33.3737 |          6.7403 |            7335
2023-01-25 15:21:09 |    13 |     1.000e-03 |   166.3993 |        159.0117 |    31.2886 |          6.4400 |            7335
2023-01-25 15:21:31 |    14 |     1.000e-03 |   183.5130 |        171.8501 |    45.8659 |          6.3167 |            7335
2023-01-25 15:21:53 |    15 |     1.000e-03 |   206.6127 |        178.1572 |    40.4477 |          6.5191 |            7335
2023-01-25 15:22:14 |    16 |     1.000e-03 |   190.9149 |        138.7596 |    28.1661 |          6.0076 |            7335
2023-01-25 15:22:37 |    17 |     1.000e-03 |   169.5918 |        140.2600 |    38.2329 |          5.8418 |            7335
2023-01-25 15:22:59 |    18 |     1.000e-03 |   150.0203 |        163.3044 |    58.6894 |          5.8013 |            7335
2023-01-25 15:23:21 |    19 |     1.000e-03 |   130.7848 |        200.0539 |    83.5640 |          5.7460 |            7335
2023-01-25 15:23:43 |    20 |     1.000e-03 |   139.6018 |        208.3672 |    82.2562 |          5.8334 |            7335
2023-01-25 15:24:05 |    21 |     1.000e-03 |   155.5819 |        156.6542 |    62.4304 |          5.5104 |            7335
2023-01-25 15:24:27 |    22 |     1.000e-03 |   149.7849 |        215.7463 |    33.9514 |          7.1542 |            7335
2023-01-25 15:24:49 |    23 |     1.000e-03 |   169.7719 |        156.9766 |    53.8078 |          5.6528 |            7335
2023-01-25 15:25:11 |    24 |     1.000e-03 |  1024.2675 |        484.3352 |    81.1644 |         10.7683 |            7359
2023-01-25 15:25:33 |    25 |     1.000e-03 |   360.7543 |        234.3376 |    38.0887 |          7.7666 |            7359
2023-01-25 15:25:55 |    26 |     1.000e-03 |   269.5495 |        191.1287 |    32.7093 |          6.8959 |            7359
2023-01-25 15:26:17 |    27 |     1.000e-03 |   198.0219 |        151.9695 |    29.2590 |          6.2672 |            7359
2023-01-25 15:26:40 |    28 |     1.000e-03 |   142.1437 |        145.3724 |    33.9985 |          6.0037 |            7359
2023-01-25 15:27:02 |    29 |     1.000e-03 |   123.8877 |        138.0273 |    40.4331 |          5.7413 |            7359
2023-01-25 15:27:24 |    30 |     1.000e-03 |   118.9707 |        156.1964 |    60.0157 |          5.6853 |            7359
2023-01-25 15:27:46 |    31 |     1.000e-03 |   111.9737 |        145.9640 |    61.3076 |          5.3981 |            7359
2023-01-25 15:28:05 |    32 |     1.000e-03 |   210.6712 |        211.8308 |    59.2149 |          6.8025 |            7359
2023-01-25 15:28:27 |    33 |     1.000e-03 |   192.6872 |        137.2843 |    35.1623 |          5.8041 |            7359
2023-01-25 15:28:49 |    34 |     1.000e-03 |   175.2179 |        122.0647 |    23.7110 |          5.5533 |            7359
2023-01-25 15:29:11 |    35 |     1.000e-03 |   103.8205 |        110.7885 |    33.9320 |          5.1364 |            7359
2023-01-25 15:29:33 |    36 |     1.000e-03 |   138.0267 |        123.8269 |    32.7105 |          5.3946 |            7359
2023-01-25 15:29:56 |    37 |     1.000e-03 |   128.5584 |        110.2570 |    22.3175 |          5.2893 |            7359
2023-01-25 15:30:18 |    38 |     1.000e-03 |   142.6209 |        105.8177 |    25.3470 |          5.1518 |            7359
2023-01-25 15:30:40 |    39 |     1.000e-03 |   125.3902 |        106.0401 |    26.5032 |          5.0980 |            7359
2023-01-25 15:31:02 |    40 |     1.000e-03 |   111.4921 |        107.6658 |    27.9044 |          5.0647 |            7359
2023-01-25 15:31:24 |    41 |     1.000e-03 |    90.4469 |        117.9596 |    43.8738 |          4.9320 |            7359
2023-01-25 15:31:46 |    42 |     1.000e-03 |    93.8853 |        100.1269 |    19.8835 |          4.8754 |            7359
2023-01-25 15:32:08 |    43 |     1.000e-03 |   139.1311 |        114.8633 |    25.5100 |          5.0446 |            7359
